N,P,K,temperature,humidity,ph,rainfall,label
38,135,203,23.76121837,93.661643,5.9655513110000005,100.825956,apple
95,88,52,28.00316034,78.90085998,6.235461772000001,94.68180316,banana
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea
17,29,26,26.14162144,93.28415295,6.071897347,195.4115025,coconut
93,26,27,24.59245684,56.46829641,7.288211994,137.70440469999997,coffee
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,cotton
39,140,203,21.11903604,80.63399198,6.349875906,69.27779761,grapes
90,50,44,26.91643698,73.48655995,6.253408852000001,171.4716375,jute
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans
14,76,20,29.05941162,62.10652364,7.042474679,36.5011366,lentil
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,mango
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,mothbeans
24,44,17,29.8596912,80.03499648,6.666380512000001,50.66487502,mungbean
83,15,49,28.92705913,91.39356832,6.438008152999999,23.20076686,muskmelon
24,30,11,32.39523995,94.51768464,6.601395755,113.25373,orange
39,69,53,25.9300384,93.02357765,6.964955435,241.8202079,papaya
39,57,19,29.32379604,45.93248374,6.421748487,165.4113371,pigeonpeas
18,9,40,19.44623085,89.02127045,5.627186257000001,106.1606833,pomegranate
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
114,21,55,25.4438391,87.93923120000002,6.472756256,57.51549686,watermelon
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans
22,59,23,27.32220619,51.27868781,4.371745575,36.5037914,mothbeans
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon
25,129,195,17.98667801,81.17712085,5.777271492000001,72.37127689,grapes
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,mothbeans
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,mothbeans
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,pigeonpeas
81,36,38,23.76554749,87.98329901,6.334837865,150.31661519999997,jute
39,64,52,28.91842453,94.63676767,6.678695788,63.68794608,papaya
44,57,53,42.30495821,90.51431779,6.93172108,74.876786,papaya
35,30,34,28.2974764,95.41122824,6.141502001,182.4482352,coconut
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize
31,51,25,27.53592929,85.57019009999998,7.196774236,53.01899249,mungbean
127,53,24,22.21506982,76.17851932,6.127939627999999,70.40557612,cotton
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,mungbean
102,46,19,22.77076388,82.5993307,6.631005298,81.49543437,cotton
39,42,20,29.3499706,61.25353851,8.055908857999999,40.82840673,mothbeans
32,71,85,20.62767492,14.44008871,6.4039823160000005,92.06630306,chickpea
91,25,26,24.53460016,66.99765375,7.482414225,180.5059257,coffee
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,blackgram
12,29,13,22.45616931,91.52781832,7.57125447,118.0069295,orange
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
55,78,21,33.39438752,62.93692886,6.602888248999999,63.57445989,blackgram
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
20,73,22,16.03768615,22.33195853,5.976312537999999,130.3900798,kidneybeans
40,61,22,20.94981756,65.8108757,7.002216044,44.23913012,lentil
118,45,23,23.37044424,77.43198948,7.977651226,71.67870701,cotton
36,44,21,25.12528913,51.33189406,4.516154055,38.48678973,mothbeans
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize
75,56,44,25.2746335,73.7459581,6.109478059,168.0432282,jute
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,lentil
9,56,17,26.13708256,66.7729209,6.261937875,46.48280681,lentil
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
93,26,27,24.59245684,56.46829641,7.288211994,137.70440469999997,coffee
28,69,16,29.77013109,66.29327012,6.547361617999999,35.69674138,lentil
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
29,25,35,28.3575072,91.64509299,5.542873799,160.73069909999995,coconut
34,48,48,41.04224355,91.37258067,6.805277038,181.527598,papaya
37,135,205,11.82768186,80.2827185,5.510924848999999,74.10225057,grapes
6,64,23,23.33565221,67.40460704,7.065264073,36.18678721,lentil
12,34,28,33.36140093,45.02236377,6.13526938,98.81596545,mango
16,65,19,27.61204997,69.29786244,7.043160241,42.72374404,lentil
9,25,41,24.81530144,91.90842992,5.972714857000001,109.2853418,pomegranate
29,16,36,19.81069447,88.92944254,5.7403380020000006,102.860084,pomegranate
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
37,23,28,25.61294367,94.3138837,5.7400545670000005,224.3206759,coconut
69,64,47,40.21199348,94.50766912,6.993473247000001,186.6762324,papaya
82,24,26,24.31274458,53.57285558,6.089443602999999,184.4103931,coffee
36,38,15,28.36363858,87.59810657,6.3206620120000006,57.99524359,mungbean
39,5,31,27.10134661,93.69979946,5.551963184,150.9502632,coconut
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana
29,77,75,17.50361137,15.48083156,7.778591617999999,72.9446671,chickpea
35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,apple
11,132,197,15.99050693,81.23966573,5.7343170070000005,74.40198861,grapes
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon
3,23,30,29.70143197,95.65754365,6.078807239,215.1968037,coconut
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya
16,75,21,18.50692825,23.61670065,5.679224346,87.05132890000002,kidneybeans
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
5,56,24,24.80710166,45.01110015,5.023115055,188.4928637,pigeonpeas
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea
9,69,20,19.30607278,23.96362799,5.591560999,129.3449326,kidneybeans
17,136,196,23.87192332,90.49939035,5.882155987999999,103.0548094,apple
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea
48,62,15,25.36586097,66.6379724,7.538631462000001,65.81655892,blackgram
26,10,33,28.27298134,96.93649473,6.07071786,198.8234862,coconut
28,27,32,28.94099669,93.00109012,5.764615485,191.7723087,coconut
84,25,52,24.37190239,81.2514818,6.12532356,44.20899581,watermelon
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon
117,27,48,26.53259325,82.39053979,6.835268183999999,54.30660782,watermelon
1,30,29,28.33333307,51.39586505,6.4341977560000005,91.67241761,mango
37,49,25,29.914544300000006,85.85384444,6.415459592,41.39081525,mungbean
113,28,48,28.87726019,92.48839665,6.170520517999999,24.44267592,muskmelon
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
5,74,21,16.24469193,21.35793891,5.591704013999999,66.97053257,kidneybeans
1,135,203,22.77856513,92.70124029,5.624203283,113.7759219,apple
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
112,39,29,26.12492233,63.37479229,6.726528895,147.8035305,coffee
0,19,33,27.1326009,95.23797989,6.234458417000001,204.7206567,coconut
98,22,47,29.07265321,91.91533173,6.341400922,28.83568362,muskmelon
103,27,31,27.15998538,51.59100753,6.691541233,126.1752206,coffee
117,43,25,24.68854799,78.51206972,7.839849298,69.31153566,cotton
26,73,21,31.33170829,57.97429171,4.946263888,161.7820226,pigeonpeas
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
29,36,25,28.28511547,88.4393979,7.130278657000001,48.56690235,mungbean
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,pigeonpeas
58,70,84,20.6543203,16.60820843,6.231049027999999,74.6631118,chickpea
73,43,42,26.58361011,78.00774772,6.310699968,154.8238864,jute
57,64,55,26.68386496,92.9585411,6.583760498999999,62.50689682,papaya
8,26,26,25.54759871,91.64194826,5.702484758,212.867626,coconut
120,23,28,25.67324193,51.29043632,6.877799264,196.2736367,coffee
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,kidneybeans
105,14,50,26.2148837,87.68839820000002,6.419052193,59.65590798,watermelon
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans
114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,banana
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut
61,41,35,24.97178693,79.47557931,6.842966478999998,195.7571622,jute
110,22,47,29.03157242,91.82172592,6.243673725,24.93861254,muskmelon
9,38,25,34.58561471,50.34035336,5.497946899,100.3060719,mango
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,pigeonpeas
31,121,201,23.15791104,90.34396882,5.731535257999999,110.712841,apple
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram
18,79,20,20.27514686,23.2353604,5.877347515,139.7521543,kidneybeans
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,pigeonpeas
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon
60,55,36,26.12797248,80.49172597,7.132389299,150.6326874,jute
73,45,37,23.70467146,74.63745355,6.742688094,181.2783964,jute
40,65,49,35.32876402,91.06138506,6.678449317999999,163.9069365,papaya
85,21,52,29.62800691,90.10051615,6.0751441160000015,23.69586761,muskmelon
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,muskmelon
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
31,48,45,40.78881819,92.90951393,6.563134737,132.7923586,papaya
9,77,17,21.65845777,63.58337146,6.280725549,38.07659414,lentil
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea
5,23,15,25.66901098,92.04670813,7.408939392000001,112.5424199,orange
61,41,44,24.36972377,82.11319791,6.537914957999999,159.92109340000005,jute
23,138,195,22.49095104,91.70292746,5.7959857160000015,124.3915101,apple
34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,kidneybeans
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana
80,16,46,25.50405534,81.40297428,6.940236218,48.47833278,watermelon
21,20,31,25.60033702,99.7240104,5.855457599,165.82487319999996,coconut
10,79,18,21.0643684,55.46985938,5.624731337999999,184.6226709,pigeonpeas
33,23,45,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,jute
114,40,17,24.32630461,80.13456404,6.363406102000001,69.45072055,cotton
32,79,22,27.60195453,63.46170674,5.91645379,54.37814199,lentil
13,126,204,23.1094265,92.79630809,6.3831802710000005,108.183792,apple
29,35,28,28.347161100000005,53.53903102,6.9674177660000005,90.40260445,mango
49,54,50,25.62446619,93.18240298,6.762522087000001,97.26336657,papaya
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,chickpea
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,lentil
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize
106,49,24,23.03887865,76.47039772,6.983395572999999,90.64770699,cotton
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram
28,10,30,29.8690834,91.14723422,6.305740522000001,192.7678575,coconut
32,139,198,35.89307536,82.66850729,6.358186848,66.53946559,grapes
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice
7,74,17,22.47253208,62.56532471,5.667419697000001,96.74706956,pigeonpeas
19,65,25,18.09551014,18.29318436,5.6250964460000015,144.7902323,kidneybeans
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,cotton
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans
8,37,33,28.07802689,54.9640534,6.128167757000001,97.45373619,mango
111,28,26,27.77363343,64.47858698,6.937352845,192.7121236,coffee
131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes
34,10,14,34.05296914,92.05811721,6.725600855,116.8020848,orange
6,36,22,24.21610338,59.79236306,8.869532817,42.24783476,mothbeans
39,139,201,41.18664903,81.01783402,5.5399808120000005,68.68895899,grapes
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,watermelon
0,65,24,28.49584395,62.44616219,7.841496029,53.14531023,lentil
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
22,55,24,28.56800579,57.30636014,8.66077954,64.53027638,mothbeans
37,52,47,43.08022702,93.90305729,6.54277684,211.8529059,papaya
17,136,195,41.20733624,81.61051026,6.389783283,65.90227462,grapes
118,18,52,28.04943594,90.83130708,6.562832807,20.76223014,muskmelon
14,121,203,9.724457611,83.74765639,6.1586894060000015,74.46411148,grapes
5,18,14,33.105698100000005,93.48447453,7.434118807000001,119.1709113,orange
32,20,35,26.52166434,98.38227669,5.588655387,144.6261698,coconut
