questions,answers
asking about management problem in fish pond,explained in details
asking about feeding practices of fish,adviced to feed with 'rice brane and moc' @ 18-20 kg per bigha of water area
asking about treatment of diarrhoea in cow.,suggested to administer nt-zole bolus @ 1 bolus twice daily for 5 days. along with that administer neblon powder @ 50 gm twice daily for 5 days.
asking about the control of brown leaf hopper,suggested him to spray tricel 20 ec @ 2ml/liter of water
asking about the control measure of powdery mildew disease in ridge gourd.,suggested to apply sulfex @ 2 gram / litre of water.
asking about the benefit and minimum expenditure for low cost green house,"benefit of low cost green house is that off season cultivation of crops can be done and also it acts as rain shelter during rainy season and the minimum cost for low cost green house is rs. 20,000/- to 30,000/-."
asking about the control measure of root rot disease in tomato.,advised to apply captan @ 3 gram / litre of water.
asking about the control measure for fungal wilt in ridge gourd,"recommended to spray contaf(hexaconazole),1.5 ml/lit water"
"asked about water quality of a pond

",apply lime - 8 kg/bigha/monthly
asking about air layering process of litchi,explained him in details
"asking about pm kisan samman nidhi yojona
",--visit district agriculture office as your account is deactivated
asking about the pest control of cabbage,suggested him to apply malathion 50 ec @1.5 ml/litres of water
asking about treatment of pox in poultry.,suggested to administer tetracycline powder twice daily for five days.
new registration,kcc reg. no.13937166
asking about the cauliflower variety,"recommended to grow pusa katki,early kowari cauliflower variety"
control measures of fruit flies,advice to spray malathion 50 ec @ 2 ml/l water
asking about the control measure of root rot in potato,suggested him to spray contaf @1ml/lit of water
asking about different government scheme,adviced to contact with concern agricultural development officer
asking baout the disease problem in tomato,application of  trecel 2 2 ml per litre of water
asking about thrips problem in chilli,suggested to spray disect/malathion 50ec @ 2ml/litre of water
"asking about control of late blight 


","spray ridomil gold @2gm/l water, 2 spray at 5 days interval."
asking about the control of aphids,spray ragor 35 ec @ 2ml/litres of water
asking about culture practice of papaya,explained details
fertilizer requirment in boro paddy,"apply urea 9 kg, ssp 27 kg and mop 6 kg per bigha"
asking about the insects pest problem  of french bean,application of rogor @ 2 ml per litre of water
querry regarding downey mildew,advised to apply saff @ 2gm/lit
asking about the rottening of banana disease,application  of blitox 50  ec @ 2 ml per litre of water
asking about the sowing time of wheat.,advised him to select sowing time november to december for wheat.
asking about the control measure of stem borer.,suggtested to spray moncrotophos @ 1.5ml/liter water.
agriculture related problem.,transfer to agriculture expert
asking about the control leaf eating caterpillar in black gram,suggested him to spray ustad @ 2ml/liter of water
asking about the fertilizer dose of potato,"apply urea 19 kg ,ssp 45 kg , mop 13 and borax 1.5 kg /bigha"
asking for the control measure to bring in control the fruit rot in spine gourd.,advised to spray dithane-z-78 @ 2 milli litre per litre of water.
call disconnected,nul
control measure of rice stem borer,advice to spray chlorpyriphos 20 ec @ 2 ml/l water
"asking for contact number of hrs, kahikuchi","horticulture research station, rani gate, kahi kuchi, azara, guwahati, assam 781017

phone: 098541 93113"
asking about the recommended fertilizer dose for potato,"suggested that recommended fertilizer dose is like-urea@19 kilogram/bigha,ssp@45 kilogram/bigha,mop@12 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop,fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting."
asking about kisan credit card,explain details
asked about vaccination schedule for chicken,"????? ??? ? ???? ?? ??????  ????? (marek disease) ???? ??? ???, ? ???? ?? ????  ???, i b  d   ?????????????  ???????? ????? ?? ???? ???. ?? ???? ????????? ??????? ????????  ????? ????? ??? . ?? ???? ???? ????? ???? i b  d   ?????????????
  "
query regarding breeding of koi fish,advice him contact during breeding season (april-may)
asking about betel vine  leaf spot disease,appliation of blitox 50 @ 2 ml per litre of water
asking about the pseudostem borer infestation in banana,suggest him to apply malathion 50 ec @2ml/lt of water
asking about pyrexia and vomition,"advised him to  give melonex plus inj @ 4 ml  intramuscularly for 3 days,  vomiset 0.5 ml intra muscularly for  2 days"
asking about control of bacterial wilt in chilli.,told him to apply cristocycline @ 1 g per 5 liters of water.
asking for expected rainfall for coming few days,"clear to partial cloudy sky with 2-5 octa cloud will prevail during next 5
days. about 3.0, 4.0, 3.0, 5.0 and 5.0 mm of rainfall is predicted on 5th, 6th,
7th, 8th and 9th april, 2014"
fungal wilt,spray captaf @ 3 gm /lit water
asking for the control measure against the aphid vector in chilli crop.,'rogor 35 ec' solution @ 2 milli liotres per 1 litre of water has been suggested to spray.
deseases in beetle vine,adviced to apply blitox 50 @ 2 gm per liter of water
agril. query,transfered to agril. expert
asking about the control of termite in sugercane,suggested him to apply furadon 3g @ 3 kg / bigha
asking for any crop booster name to be sprayed in mustard cultivation and its sparying time.,the crop booster 'green harvest' has been advised to be sprayed @ 25 gram in 1 litre of water at the stage of 30 days after planting.
want to know regarding burning of rice leaf,advice to spray bavistin @ 2 gram/lit of water
asking about the fertilizer doses for papaya,"suggested him to apply urea-15kg, ssp-30kg, mop-12kg per bigha"
asking about the fertilizer dose totomato,"apply urea 22 kg , ssp 50 kg  and 13 kg /bigha"
asking for control anthracnose,recommended him to spray captaf @ 2 gram per litre of water
asking about the source of good breed piglet farming.,"suggested to contact with nearest vetrinarian or base pig breeding farm, khanapara ,ghy-22"
asking about pig breeding,you have to breed for 3 times at 8 our interval in order to get more no. of piglet
asking about pm kisan samman nidhi yojona,"--visit common service centre with aadhaar card, pan card, bank passbook and land record (khajana receipt) for registration "
asking about the fisheries loan.,explain in detail.
asking about the control of insect infestation in black gram,suggested him to spray rocket @ 2ml/liter of water
asking about insect problem in brinjal,advice him to spray decis @ 1.5 ml per litres of water
asking about treatment of wound in goat.,suggested to apply scavon ointment over the affected area twice daily.
control of bacterial wilt in brinjal,advised him to spray agrimycin @ 1gm/10 litres of water at the base portion of the plant.
query regarding control measures of bacterial wilt in chilli,suggested streptomycin @ 1gm per 10 litr of water
asking about stem borer infestation,recommended to spray tricel 20 @ 2ml/l water for 3 days at 3 days interval
asking about the control of leaf curl disease in rose,suggested him to spray ragor @ 2ml/liter of water
asking about downy mildew problem in watermelon,suggested to spray saaf @ 1gm per litre of water
asking about the recommended fertilizer dose for wheat,"suggested that recommended fertilizer dose is like-urea@60 kilogram/bigha,ssp@30 kilogram/bigha .half dose of urea and full doses of ssp and mop, fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting"
asking about the poor growth of a pig.,suggested to administer ambiplex syrup @ 1 tsf orally twice a day.
asking about the fungal wilt problem in tomato cultivation.,suggested to soil drench with carbendezim @ 1gm/litre of water.
asking about cultural practices of boro paddy,advice him to use hybrid seed [arise 6444] for better production
asking about fungal disease problem in tomato,application of ridomill mz 72 @ 2 ml per litre of water
control measures of blight in potato,spray indofil m-45 @ 2gram/litres of water
fishries q .,transfered
asking about feeding practices of fish,adviced to feed with rice brane and moc @ 1:1 ratio
asking about treatment of cough in cow.,suggested to administer caflon powder @50 gm thrice daily along with gur for five days.
asking about treatment of worms infestation in goat.,suggested to administer panacur 150 mg tab@ 1 tab/30 kg body weight.along with that administer liv-52 vet 2 5 ml twice daily.
enquired about kcc,expalined in details
asking about cultural practise,explain briefly
query regarding liming in pond,advice him to apply lime @ 5kg/bighas of water spread area
asking  about crop scheme and crop insurance for registration ,told him to  visit krishi vigyan kendra tinsukia  ghelaphukuri  for  the information  
asking about the nutreint management in rice,told him to spray phyto gaurd @ 2ml / l of water
asking about the nutrient in tea,"advised to apply folia application  with urea,mop 3 and 2 kg /200 litres of water"
query regarding liming in pond,advice him to apply lime @ 5 kg/bighas of water spread area
query regarding breed of capra hircus,"black bengal , beetal, assam hill goat etc  are the breeds of capra hircus"
